time,open,high,low,close,tick_volume,spread,real_volume
2023-07-13 11:55:00+00:00,120905.0,120970.0,120880.0,120955.0,24029,5,74298
2023-07-13 12:00:00+00:00,120955.0,120970.0,120830.0,120885.0,31618,5,93505
2023-07-13 12:05:00+00:00,120880.0,120890.0,120760.0,120780.0,38532,5,112191
2023-07-13 12:10:00+00:00,120780.0,120840.0,120690.0,120735.0,50576,5,154025
2023-07-13 12:15:00+00:00,120730.0,120825.0,120700.0,120785.0,31986,5,98874
2023-07-13 12:20:00+00:00,120790.0,120790.0,120710.0,120760.0,23132,5,66625
2023-07-13 12:25:00+00:00,120760.0,120810.0,120710.0,120710.0,24807,5,78909
2023-07-13 12:30:00+00:00,120715.0,120750.0,120555.0,120725.0,64972,5,207364
2023-07-13 12:35:00+00:00,120725.0,120790.0,120710.0,120750.0,21585,5,66605
2023-07-13 12:40:00+00:00,120755.0,120790.0,120675.0,120765.0,27843,5,82206
2023-07-13 12:45:00+00:00,120770.0,120870.0,120735.0,120840.0,33205,5,103680
2023-07-13 12:50:00+00:00,120845.0,120885.0,120815.0,120845.0,20475,5,61225
2023-07-13 12:55:00+00:00,120845.0,120880.0,120835.0,120870.0,14426,5,44290
2023-07-13 13:00:00+00:00,120865.0,120900.0,120835.0,120885.0,19024,5,59225
2023-07-13 13:05:00+00:00,120885.0,120930.0,120845.0,120895.0,22364,5,64000
2023-07-13 13:10:00+00:00,120895.0,120940.0,120885.0,120940.0,20267,5,65112
2023-07-13 13:15:00+00:00,120940.0,120995.0,120935.0,120955.0,27137,5,84424
2023-07-13 13:20:00+00:00,120950.0,121095.0,120920.0,121060.0,38074,5,123704
2023-07-13 13:25:00+00:00,121060.0,121090.0,121010.0,121065.0,27655,5,92506
2023-07-13 13:30:00+00:00,121065.0,121110.0,121005.0,121095.0,37924,5,133908
2023-07-13 13:35:00+00:00,121095.0,121175.0,121050.0,121070.0,44650,5,151032
2023-07-13 13:40:00+00:00,121070.0,121080.0,121005.0,121030.0,26103,5,87043
2023-07-13 13:45:00+00:00,121025.0,121085.0,121005.0,121065.0,21589,5,74498
2023-07-13 13:50:00+00:00,121065.0,121125.0,121035.0,121090.0,22062,5,68556
2023-07-13 13:55:00+00:00,121090.0,121095.0,121035.0,121050.0,16185,5,48696
2023-07-13 14:00:00+00:00,121055.0,121115.0,121025.0,121090.0,19836,5,62368
2023-07-13 14:05:00+00:00,121090.0,121090.0,120985.0,121015.0,26150,5,81482
2023-07-13 14:10:00+00:00,121015.0,121020.0,120945.0,120965.0,26031,5,83662
2023-07-13 14:15:00+00:00,120970.0,120975.0,120860.0,120875.0,33055,5,103032
2023-07-13 14:20:00+00:00,120870.0,120895.0,120810.0,120845.0,31026,5,101930
2023-07-13 14:25:00+00:00,120840.0,120910.0,120765.0,120830.0,39447,5,125613
2023-07-13 14:30:00+00:00,120830.0,120840.0,120755.0,120820.0,26607,5,88298
2023-07-13 14:35:00+00:00,120825.0,120870.0,120795.0,120830.0,23344,5,75837
2023-07-13 14:40:00+00:00,120830.0,120840.0,120710.0,120840.0,35575,5,111624
2023-07-13 14:45:00+00:00,120835.0,120920.0,120830.0,120885.0,34963,5,116210
2023-07-13 14:50:00+00:00,120880.0,120910.0,120865.0,120890.0,12872,5,41763
2023-07-13 14:55:00+00:00,120885.0,120940.0,120860.0,120885.0,17811,5,55880
2023-07-13 15:00:00+00:00,120890.0,120925.0,120845.0,120905.0,22496,5,72037
